match_id,season,team1,team2,date,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type,home_team,month,day,day_name,ms_batting_team,ms_bowling_team,ms_runs_scored,ms_wickets,ms_fours,ms_sixes,ms_dots,ms_no_balls,ms_wides
1359516,2023,Rajasthan Royals,Mumbai Indians,2023-04-30,42,Wankhede Stadium,Mumbai,Rajasthan Royals,bat,YBK Jaiswal,Vinod Seshan,VK Sharma,VM Dhokre,J Srinath,Mumbai Indians,,6.0,Group,Mumbai Indians,April,30,Sunday,Rajasthan Royals,Mumbai Indians,,7,20,12,0,1,16
1359495,2023,Lucknow Super Giants,Punjab Kings,2023-04-15,21,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Punjab Kings,field,Sikandar Raza,HAS Khalid,VK Sharma,A Bengeri,Shakti Singh,Punjab Kings,,2.0,Group,Lucknow Super Giants,April,15,Saturday,Punjab Kings,Lucknow Super Giants,,8,16,6,0,,5
1359484,2023,Sunrisers Hyderabad,Lucknow Super Giants,2023-04-07,10,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Sunrisers Hyderabad,bat,KH Pandya,J Madanagopal,YC Barde,PM Joshi,M Nayyar,Lucknow Super Giants,,5.0,Group,Lucknow Super Giants,April,7,Friday,Lucknow Super Giants,Sunrisers Hyderabad,,5,13,3,0,,15
1359507,2023,Chennai Super Kings,Kolkata Knight Riders,2023-04-23,33,Eden Gardens,Kolkata,Kolkata Knight Riders,field,AM Rahane,Nitin Menon,Tapan Sharma,A Bengeri,Shakti Singh,Chennai Super Kings,49.0,,Group,Kolkata Knight Riders,April,23,Sunday,Kolkata Knight Riders,Chennai Super Kings,,8,14,12,0,,9
1359496,2023,Kolkata Knight Riders,Mumbai Indians,2023-04-16,22,Wankhede Stadium,Mumbai,Mumbai Indians,field,VR Iyer,BNJ Oxenford,UV Gandhe,PM Joshi,R Seth,Mumbai Indians,,5.0,Group,Mumbai Indians,April,16,Sunday,Kolkata Knight Riders,Mumbai Indians,,6,12,10,0,,12
1359495,2023,Lucknow Super Giants,Punjab Kings,2023-04-15,21,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Punjab Kings,field,Sikandar Raza,HAS Khalid,VK Sharma,A Bengeri,Shakti Singh,Punjab Kings,,2.0,Group,Lucknow Super Giants,April,15,Saturday,Lucknow Super Giants,Punjab Kings,,8,11,6,0,1,6
1359498,2023,Chennai Super Kings,Royal Challengers Bangalore,2023-04-17,24,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,field,DP Conway,KN Ananthapadmanabhan,Navdeep Singh,Abhijit Bhattacharya,Amit Sharma,Chennai Super Kings,8.0,,Group,Royal Challengers Bangalore,April,17,Monday,Royal Challengers Bangalore,Chennai Super Kings,,8,12,16,0,,6
1370352,2023,Gujarat Titans,Mumbai Indians,2023-05-26,73,Narendra Modi Stadium,Ahmedabad,Mumbai Indians,field,Shubman Gill,Nitin Menon,RJ Tucker,KN Ananthapadmanabhan,J Srinath,Gujarat Titans,62.0,,Qualifier,Gujarat Titans,May,26,Friday,Gujarat Titans,Mumbai Indians,,3,18,13,0,2,6
1359492,2023,Punjab Kings,Gujarat Titans,2023-04-13,18,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Gujarat Titans,field,MM Sharma,A Totre,J Madanagopal,PM Joshi,R Seth,Gujarat Titans,,6.0,Group,Punjab Kings,April,13,Thursday,Punjab Kings,Gujarat Titans,,8,16,5,0,,9
1359519,2023,Lucknow Super Giants,Chennai Super Kings,2023-05-03,45,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Chennai Super Kings,field,,AK Chaudhary,NA Patwardhan,M Krishnadas,Prakash Bhatt,No Result,,,Group,Lucknow Super Giants,May,3,Wednesday,Lucknow Super Giants,Chennai Super Kings,,7,6,4,0,,6
